Time,SAT AMDC: 21 Octubre,SAT AMDC: Bomberos Juana Lainez,SAT AMDC: Ciudad Mujer Kennedy,SAT AMDC: Planta Tratamiento Concepción,SAT AMDC: Planta Tratamiento Laureles,SAT AMDC: Planta Tratamiento Picacho,SAT AMDC: UMAPS,_series
2025-07-01 00:00:00+00:00,2.511,6.727,0.402,,0.499,0.0,0.499,A
2025-07-01 00:15:00+00:00,0.901,4.619,0.0,,2.205,1.802,0.0,A
2025-07-01 00:30:00+00:00,0.0,10.654,3.508,,4.023,7.934,4.925,A
2025-07-01 00:45:00+00:00,0.901,6.132,0.692,,0.29,6.035,0.0,A
2025-07-01 01:00:00+00:00,0.0,6.035,2.301,,7.838,4.522,1.4,A
2025-07-01 01:15:00+00:00,1.802,10.348,4.313,,4.522,11.153,1.899,A
2025-07-01 01:30:00+00:00,1.207,10.252,1.207,,2.511,5.327,0.0,A
2025-07-01 01:45:00+00:00,0.805,8.851,1.802,,4.12,10.155,3.009,A
2025-07-01 02:00:00+00:00,0.0,11.056,0.0,,0.0,5.118,0.0,A
2025-07-01 02:15:00+00:00,0.0,6.437,2.607,,0.805,3.009,0.0,A
2025-07-01 02:30:00+00:00,0.0,1.497,1.094,,1.4,7.242,0.0,A
2025-07-01 02:45:00+00:00,0.0,3.911,4.12,,0.998,2.816,0.0,A
2025-07-01 03:00:00+00:00,0.0,5.826,5.52,,3.106,7.339,0.499,A
2025-07-01 03:15:00+00:00,0.0,6.534,0.0,,2.205,6.035,0.0,A
2025-07-01 03:30:00+00:00,1.899,9.753,0.0,,0.0,3.508,1.609,A
2025-07-01 03:45:00+00:00,0.692,0.402,1.609,,6.727,2.704,0.0,A
2025-07-01 04:00:00+00:00,0.0,4.313,4.216,,1.207,0.0,0.0,A
2025-07-01 04:15:00+00:00,3.718,1.497,1.497,,0.692,0.0,0.402,A
2025-07-01 04:30:00+00:00,2.108,2.704,0.0,,1.497,0.0,0.0,A
2025-07-01 04:45:00+00:00,0.595,4.522,0.0,,2.108,3.911,0.0,A
2025-07-01 05:00:00+00:00,0.0,8.336,0.0,,0.402,1.899,0.0,A
2025-07-01 05:15:00+00:00,0.0,5.52,0.0,,0.0,1.802,0.0,A
2025-07-01 05:30:00+00:00,0.0,3.911,0.901,,0.0,2.205,0.0,A
2025-07-01 05:45:00+00:00,0.0,8.851,0.29,,0.0,0.402,0.0,A
2025-07-01 06:00:00+00:00,0.0,5.729,0.0,,2.012,2.704,2.607,A
2025-07-01 06:15:00+00:00,0.0,2.301,1.4,,3.621,2.511,0.0,A
